Track,Preference,brightness_centroid,percussiveness_zcr,tempo_bpm,rms_variance,peak_to_trough_ratio,energy_gradient,chroma_variance,melody_to_drum_ratio
AURORA - Rasputin (Boney M cover - acoustic ⧸ live),Liked,1499.7732200024118,0.05295342755463957,112.34714673913044,0.00037901540054008365,5.002063274383545,0.0036099471617490053,0.014571559615433216,2.0492394426123623
AURORA - Runaway (Audio),Liked,1464.878292148773,0.057859628770301624,172.265625,0.010804427787661552,12.001242637634277,0.00909880455583334,0.009505514986813068,10.632674474735934
Agnes Obel - Dorian (Official Video),Liked,821.7383022176068,0.037062314002357766,123.046875,0.0052793314680457115,3.9404234886169434,0.009636487811803818,0.011628083884716034,17.94158330015952
Anuv Jain - AFSOS ft. AP Dhillon (Official Visualizer),Liked,1692.325480297505,0.05346277809927984,198.76802884615384,0.005269736051559448,4.444722652435303,0.011584280990064144,0.011799167841672897,5.5220121599544765
Anuv Jain - HUSN (Official Video),Liked,1635.4248084920464,0.05498513663164146,151.99908088235293,0.006751603446900845,7.712624549865723,0.009261640720069408,0.012233640067279339,6.730513455892598
Apparat - Goodbye (Official Audio),Liked,1269.757733013997,0.0541723716709622,86.1328125,0.009643087163567543,13.860345840454102,0.009945658966898918,0.01698477379977703,5.94433952665208
"Banjara - Clinton Cerejo feat Vijay Prakash & Nandini Srikar, Coke Studio @ MTV Season 2",Liked,2012.151167619319,0.07071777041638903,103.359375,0.007733775302767754,3.1371705532073975,0.014789361506700516,0.013754264451563358,4.370978875438741
Bibi Sanam ｜ Zeb & Haniya ｜ Season 3 ｜ Coke Studio Pakistan ｜@RohailHyattMusic,Liked,2498.310330911166,0.10963175194250495,103.359375,0.0033148094080388546,24.415300369262695,0.008822434581816196,0.005710378289222717,2.0092425577905453
Bu Kolthoum - Wallé  ｜  بو كلثوم - ولّع,Liked,2482.248833233827,0.10516614318759071,161.4990234375,0.004417605698108673,3.0958197116851807,0.012214295566082,0.009651110507547855,1.907029517671549
Bu Kolthoum - Zamilou ｜ بو كلثوم - زمّلوا,Liked,1508.1592933297675,0.05707787481804949,117.45383522727273,0.010837284848093987,82.32588195800781,0.015315699391067028,0.012666557915508747,2.8244172724257846
Coke Studio Season 11｜ Malang ｜ Sahir Ali Bagga and Aima Baig,Liked,2121.4423664817205,0.07920355207103087,117.45383522727273,0.006219427101314068,2.5574159622192383,0.016162116080522537,0.007256451994180679,5.530066824104983
Coke Studio ｜ Season 14 ｜ Pasoori ｜ Ali Sethi x Shae Gill,Liked,2285.5213778846464,0.07732779524097018,92.28515625,0.021282335743308067,15.906373023986816,0.017263930290937424,0.013384680263698101,4.378735955995428
Jhol ｜ Coke Studio Pakistan ｜ Season 15 ｜ Maanu x Annural Khalid,Liked,1681.029239418947,0.055391837060079135,151.99908088235293,0.017217550426721573,11.128744125366211,0.014828481711447239,0.0134424502030015,4.106794535554422
Jol Shopno (Official Audio) ｜ Palbasha Siddique ｜ Arafat Mohsin ｜ Studio58,Liked,1828.298849099883,0.0755096820145279,161.4990234375,0.003240471240133047,2.145012378692627,0.00837837252765894,0.01265126746147871,9.18844418377196
Kaatru Veliyidai - Saarattu Vandiyila Video ｜ A.R. Rahman ｜ Karthi ｜ Latest Hit,Liked,2228.1494048917666,0.0882607670732988,95.703125,0.007943348027765751,3.75345778465271,0.023656170815229416,0.021662332117557526,3.2599944876665967
Kaavish - Dekho,Liked,1434.429064748418,0.0472210561712636,89.10290948275862,0.004255872219800949,3.0216753482818604,0.011621070094406605,0.011323712766170502,2.7920588874187877
Kaavish - Faasle (Studio Version),Liked,1188.2797937826977,0.04888634902742585,117.45383522727273,0.002880723914131522,3.037546157836914,0.0065980651415884495,0.016659662127494812,8.379559015905361
Khamaaj ｜ Shafqat Amanat Ali ｜ Season 2 ｜ Coke Studio Pakistan ｜@RohailHyattMusic,Liked,1825.5063377106464,0.06724471343066822,80.74951171875,0.0005814131000079215,5.042269706726074,0.0032589116599410772,0.01935163140296936,4.407496560057537
Kotha Koiyo Na ｜ Coke Studio Bangla ｜ Season 2 ｜ Shiblu Mredha X Aleya Begum X Emon Chowdhury,Liked,1748.2891684399422,0.07800288068295864,107.666015625,0.008529693819582462,5.247087001800537,0.01601291075348854,0.01311804261058569,2.5761713794517465
Lexie Liu -  Metropolis (Official Lyric Video),Liked,1900.884942475193,0.06895224407569632,143.5546875,0.01908993162214756,4.14697790145874,0.02761337347328663,0.013583329506218433,2.683394594839152
London Grammar - Wrecking Ball in the Live Lounge,Liked,1267.8894979997933,0.0575752379947477,112.34714673913044,0.001012077322229743,2.4769020080566406,0.003570492146536708,0.01865326054394245,25.09299109104523
Long Distance Love ｜ Coke Studio Bangla,Liked,1916.3624030199514,0.06939330431572123,112.34714673913044,0.008635344915091991,4.712932586669922,0.011066596023738384,0.009430965408682823,7.404549732633644
Maanu - 4U (Official Music Video),Liked,1417.4386649425646,0.04944516321656051,129.19921875,0.005357406567782164,3.898164749145508,0.010232092812657356,0.009754003025591373,5.822672837253845
Maanu - Jhol (Acoustic) ｜ Annural Khalid ｜ Abdullah Siddiqui ｜ Asfand,Liked,1609.0984438453202,0.05708693341573292,151.99908088235293,0.004931185394525528,9.857156753540039,0.00828535109758377,0.014315654523670673,9.06599265796216
Maanu - Khwaab (feat. Mujju) (Official Audio),Liked,1807.390312570603,0.0711719123982767,99.38401442307692,0.015412851236760616,7.00109338760376,0.016402175650000572,0.009479439817368984,3.0956666360070293
Mashrou' Leila - 05 - Maghawir (Official Lyric Clip ) ｜ مشروع ليلى - مغاوير,Liked,2352.2344923665864,0.09346295105635656,117.45383522727273,0.009822643361985683,5.973530292510986,0.020070360973477364,0.01101108267903328,1.9930764914046175
Mashrou' Leila - 06 - Kalaam (s⧸he) (Official Lyric Clip ) ｜ مشروع ليلى - كلام,Liked,1368.7994331341094,0.043596079448952635,89.10290948275862,0.009932427667081356,5.997532844543457,0.012702550739049911,0.008365646935999393,9.172368900089811
Mashrou' Leila - 08 - Falyakon (Official Lyric Clip ) ｜ مشروع ليلى - فليكن,Liked,1786.7596400108725,0.07296127062833128,129.19921875,0.012983341701328754,5.926553726196289,0.026934852823615074,0.007403905037790537,1.170528226863482
Mashrou' Leila - Roman (Official Music Video) ｜ مشروع ليلى - رومان,Liked,1337.8753515658866,0.04820083862911547,99.38401442307692,0.010466626845300198,8.76017951965332,0.013039928860962391,0.009909221902489662,4.728118015544631
Mayabono Biharini from BEDROOM by Somlata,Liked,1818.689779238718,0.07344031940933732,95.703125,0.0030001094564795494,2.0688037872314453,0.012566328048706055,0.010420001111924648,4.027076956057954
Miyagi & Эндшпиль feat. Рем Дигга - I Got Love (Official Video),Liked,2261.0154427219645,0.09110706247618341,143.5546875,0.02090248465538025,4.252867698669434,0.03191544488072395,0.014646182768046856,1.5251893931543985
Murtaza Qizilbash ｜ Hum ｜ Official Audio,Liked,1551.5830788814812,0.049460864510563085,129.19921875,0.0021838571410626173,2.242659330368042,0.008160158060491085,0.015508104115724564,7.495965501914971
Mystery of Love,Liked,1128.6521367568605,0.05017311831168982,107.666015625,0.002771214349195361,3.7939329147338867,0.006126774474978447,0.015923406928777695,13.82494613895111
Nawab - Bhaga Bhaga Lyric (Telugu) ｜ @ARRahman  ｜ Mani Ratnam ｜ Rakendu Mouli,Liked,1954.9820452435274,0.08225250374179734,123.046875,0.0055371602065861225,8.519224166870117,0.009331460110843182,0.011392609216272831,9.19661870796066
